"","RegulatedEntityName","PrePoll","Q4 2019","Late"
"1","Conservative Party",275,332,57
"2","Labour Party",48,56,8
"3","Liberal Democrats",38,38,0
"4","Green Party",9,7,-2
"5","Advance Together",5,7,2
"6","Reform UK",9,9,0
"7","Plaid Cymru",2,2,0
"8","Alliance",3,2,-1
"9","SNP",2,2,0
"10","Scottish Green Party",0,6,6
"11","Renew",1,1,0
"12","Women's Equality Party",1,1,0
"13","Total",393,463,70
